scraped_date,url,title,detected,meta_description,referer,tag,keyword,text,product,price
2025-07-25T10:43:53.156814,https://www.iso.org:-1/standard/27001,None,microdata-xpath,None,,,,None,,132
2025-07-25T10:43:53.762039,,None,microdata-xpath,None,,,,None,,
2025-07-25T10:43:53.762442,,None,microdata-xpath,None,,,,None,,
2025-07-25T10:43:54.647587,https://www.iso.org:-1/standard/88435.html,None,microdata-xpath,None,,,,None,,0
2025-07-25T10:43:54.648262,,None,microdata-xpath,None,,,,None,,
2025-07-25T10:43:54.648682,https://www.iso.org:-1/publication/PUB100484.html,None,microdata-xpath,None,,,,None,,43
2025-07-25T10:43:55.357219,https://www.iso.org:-1/publication/PUB200484.html,None,microdata-xpath,None,,,,None,,158
2025-07-25T10:43:56.338855,https://www.iso.org:-1/ru/standard/27001,None,microdata-xpath,None,,,,None,,132
2025-07-25T10:43:56.339169,https://www.iso.org:-1/es/norma/27001,None,microdata-xpath,None,,,,None,,132
2025-07-25T10:43:56.339320,https://www.iso.org:-1/fr/standard/27001,None,microdata-xpath,None,,,,None,,132
